Name,Display Name,Brands,Brands copy
0742,0742 - Veterinary Services,"candykingdom,petdesk,petdesk-sandbox",candykingdom
0763,0763 - Agricultural Co-operatives,rms,rms
0780,0780 - Horticultural Services,"candykingdom,arborgold",candykingdom
1520,1520 - General Contractors-Residential and Commercial,"nickpay,fancyhatsinc,authoritybrands,colorworld,dreambuilt","authoritybrands,fancyhatsinc,nickpay"
1711,1711 - Air Conditioning Contractors – Sales and Installation,"nickpay,fancyhatsinc,arborgold,jbwarranties,jbwarranties-sandbox","fancyhatsinc,nickpay"
1731,1731 - Electrical Contractors,"paymentcloud,arborgold",paymentcloud
1740,1740 - Insulation – Contractors,"nickpay,fancyhatsinc,paymentcloud,arborgold","fancyhatsinc,nickpay,paymentcloud"
1750,1750 - Carpentry Contractors,"paymentcloud,arborgold",paymentcloud
1761,1761 - Roofing - Contractors,"paymentcloud,arborgold,colorworld",paymentcloud
1771,1771 - Contractors – Concrete Work,arborgold,
1799,"1799 - Contractors – Special Trade, Not Elsewhere Classified","arborgold,colorworld",
2741,2741 - Miscellaneous Publishing and Printing,"nickpay,fancyhatsinc","fancyhatsinc,nickpay"
2791,"2791 - Typesetting, Plate Making, & Related Services",,
2842,"2842 - Specialty Cleaning, Polishing, and Sanitation Preparations",,
3000,3000 - UNITED AIRLINES,,
3001,3001 - AMERICAN AIRLINES,,
3002,3002 - PAN AMERICAN,,
3003,3003 -  N/A,,
3004,3004 - TRANS WORLD AIRLINES,"nickpay,fancyhatsinc","fancyhatsinc,nickpay"
3005,3005 - BRITISH AIRWAYS,,
3006,3006 - JAPAN AIRLINES,,
3007,3007 - AIR FRANCE,,
3008,3008 - LUFTHANSA,,
3009,3009 - AIR CANADA,,
3010,3010 - KLM (ROYAL DUTCH AIRLINES),,
3011,3011 - AEORFLOT,,
3012,3012 - QUANTAS,,
3013,3013 - ALITALIA,,
3014,3014 - SAUDIA ARABIAN AIRLINES,,
3015,3015 - SWISSAIR,,
3016,3016 - SAS,,
3017,3017 - SOUTH AFRICAN AIRWAYS,,
3018,3018 - VARIG (BRAZIL),,
3019,3019 -  N/A,,
3020,3020 - AIR-INDIA,,
3021,3021 - AIR ALGERIE,,
3022,3022 - PHILIPPINE AIRLINES,,
3023,3023 - MEXICANA,,
3024,3024 - PAKISTAN INTERNATIONAL,,
3025,3025 - AIR NEW ZEALAND,,
3026,3026 -  N/A,,
3027,3027 - UTA/INTERAIR,,
3028,3028 - AIR MALTA,,
3029,3029 - SABENA,,
3030,3030 - AEROLINEAS ARGENTINAS,,
3031,3031 - OLYMPIC AIRWAYS,,
3032,3032 - EL AL,,
3033,3033 - ANSETT AIRLINES,,
3034,3034 - AUSTRAINLIAN AIRLINES,,
3035,3035 - TAP (PORTUGAL),,
3036,3036 - VASP (BRAZIL),,
3037,3037 - EGYPTAIR,,
3038,3038 - KUWAIT AIRLINES,,
3039,3039 - AVIANCA,,
3040,3040 - GULF AIR (BAHRAIN),,
3041,3041 - BALKAN-BULGARIAN AIRLINES,,
3042,3042 - FINNAIR,,
3043,3043 - AER LINGUS,,
3044,3044 - AIR LANKA,,
3045,3045 - NIGERIA AIRWAYS,,
3046,3046 - CRUZEIRO DO SUL (BRAZIJ),,
3047,3047 - THY (TURKEY),,
3048,3048 - ROYAL AIR MAROC,,
3049,3049 - TUNIS AIR,,
3050,3050 - ICELANDAIR,,
3051,3051 - AUSTRIAN AIRLINES,,
3052,3052 - LANCHILE,,
3053,3053 - AVIACO (SPAIN),,
3054,3054 - LADECO (CHILE),,
3055,3055 - LAB (BOLIVIA),,
3056,3056 - QUEBECAIRE,,
3057,3057 - EASTWEST AIRLINES (AUSTRALIA),,
3058,3058 - DELTA,,
3059,3059 -  N/A,,
3060,3060 - NORTHWEST,,
3061,3061 - CONTINENTAL,,
3062,3062 - WESTERN,,
3063,3063 - US AIR,,
3064,3064 -  N/A,,
3065,3065 - AIRINTER,,
3066,3066 - SOUTHWEST,,
3067,3067 -  N/A,,
3068,3068 -  N/A,,
3069,3069 - SUN COUNTRY AIRLINES,,
3070,3070 -  N/A,,
3071,3071 - AIR BRITISH COLUBIA,,
3072,3072 -  N/A,,
3073,3073 -  N/A,,
3074,3074 -  N/A,,
3075,3075 - SINGAPORE AIRLINES,,
3076,3076 - AEROMEXICO,,
3077,3077 - THAI AIRWAYS,,
