Finix Merchant Number,DBA,Action,,
MU21xDw45xea1Nmk98NC9edD,TidalCrew LLC,Update non amex to 25 bps,,
MU23G4hVSfXqJkDdXAiwAd2j,Mama Paulines African Market LLC,Update non amex to 25 bps,,
MU23wYMYFgCbxHKcWcCy7xXA,"Fawley Overhead Door, Inc.",Update non amex to 25 bps,,
MU24j5ARyLapFmCuWTeNf2pF,HealthPoint Neurodiagnostics,Update non amex to 25 bps,,
MU25dTBdtMtrbtg95sgLrWHQ,The Essential Home,Update non amex to 25 bps,,
MU27Mof379bn8bGZKo9HQmTq,Tonys Wholesale Supply Co,Update non amex to 25 bps,,
MU27MssXuUwWuKf2NWSSH66X,Orthopedic Centers of Colorado,Update non amex to 25 bps,,
MU27Shxy1xHFSEn7dj9HWQ4k,Joshua Paul Werblin MD PA,Update non amex to 25 bps,,
MU28RnZkfVou9jiJAPj68VyP,Home Improvement Warehouse LLC,Update non amex to 25 bps,,
MU28v2ehpdwbPVhuL8udAK5i,Twice But Nice LLC,Update non amex to 25 bps,,
MU29A3Bdqi5HRnjHZPXk8oLg,Burch Family Dental PLLC,Update non amex to 25 bps,,
MU2A3bLnLLvjHxrbEnRYg3jM,Ronan Power Products Inc,Update non amex to 25 bps,,
MU2A5xit2bso7STvHBJRrZth,Business Funding Network,Update non amex to 25 bps,,
MU2b5DhaahGHHkE4sEvtLigf,Illuminations On Broadway LLC,Update non amex to 25 bps,,
MU2bqPFY2FeoJsAxPNqfrmDf,Wall Crawl LLC,Update non amex to 25 bps,,
MU2CgQLeCXLeG4DCmhaxVdXq,Southeastern Orchid Company,Update non amex to 25 bps,,
MU2CZMMcF3Pt6RXxLayqg3xa,BleuSal LLC,Update non amex to 25 bps,,
MU2DCypg4KbUwEqBXiiodGTC,Noon & Eye Optical Inc,Update non amex to 25 bps,,
MU2dgS9s7KcokiTojq9XcNr3,Patrick Weimer DDS APD LLC,Update non amex to 25 bps,,
MU2DKdiohKZ5J8dhVu3SXnRU,ProTax Group LLC,Update non amex to 25 bps,,
MU2h3NaTYGvSSxE58ezJdtvo,Board House LLC,Update non amex to 25 bps,,
MU2hW8zZYQXWTocEWhKddG6v,Robert Soohey,Update non amex to 25 bps,,
MU2jS3UqYQCWjCcnu8AXbCMf,Cornerstone Data Corp,Update non amex to 25 bps,,
MU2jSu5q3MfEBHj4smih7igt,Fattmerchant Inc,Update non amex to 25 bps,,
MU2kNNoZRY7WRk9fTo7UaEm7,Big Apple Math LLC,Update non amex to 25 bps,,
MU2KrKpNJTXjicaQLQumT5fZ,Empire Mastermind LLC,Update non amex to 25 bps,,
MU2MUxAdZHrgLgDjdN6oZZfm,Marc R Boivin DDS LLC,Update non amex to 25 bps,,
MU2MyViUWbbzN7zy7dwbphBh,Long Island Volleyball Inc,Update non amex to 25 bps,,
MU2n8tdudU4ZiUR1MN84a18C,House of Audio Corp,Update non amex to 25 bps,,
MU2niXWQB6P11EMgr9jmdd54,GARDEN STATE CARDIOVASCULAR,Update non amex to 25 bps,,
MU2NkcqA2G6FtfHjnvTn5q9o,The National Mobile X-Ray,Update non amex to 25 bps,,
MU2NYuuZzQry5sfoNts66cuW,Adamsville Storage LLC,Update non amex to 25 bps,,
MU2NzBBHBkyiSdS4jEKhmfQb,Saleh Associates Inc,Update non amex to 25 bps,,
MU2qgFy3dcANmACh2ajJjqYz,All In One Construction Services Inc,Update non amex to 25 bps,,
MU2R1t4zu7hof1Ds8YQ8rnJZ,Nutshell Marketing Services,Update non amex to 25 bps,,
MU2rGT6ospAMM3BNgrQo6JLU,"Katy Storage, LLC",Update non amex to 25 bps,,
MU2rXCcnNoxb7SUfpxJemA2g,Rentex,Update non amex to 25 bps,,
MU2Sh9GUnYYMekgEBZn8J4dp,on time steam cleaning inc,Update non amex to 25 bps,,
MU2t444mbrjFaYvU22eYRc1P,Bill Good Marketing,Update non amex to 25 bps,,
MU2T8J4wypi9QNDk9e1CYrkK,"GOLDENTRAINER PERFORMANCE STUDIO, INC",Update non amex to 25 bps,,
MU2txdoFp8ZfbJFhhEWmF5MJ,Hartmann&Forbes Inc,Update non amex to 25 bps,,
MU2TZpiuJT5YYsdhJzptzeH2,Freedom Restoration Services LLC,Update non amex to 25 bps,,
MU2Ugp9FhAj3GGGEMK4MSKFP,Brewskis Beverage Service,Update non amex to 25 bps,,
MU2UoMGzVQmnZeLv9aAbNoE1,Saleh and Saleh LLC,Update non amex to 25 bps,,
MU2UsLC8CAXmhQu7k2fdS5uN,Malhotra Center for Plastic Surgery,Update non amex to 25 bps,,
MU2WcXBqP96xtwWowZ7PhLUF,Gilden Woods Operating E Centre Ave LLC,Update non amex to 25 bps,,
MU2WueHkFr8oK5SAPoGEjzHV,MSK Signs Printing Solutions LLC,Update non amex to 25 bps,,
MU2WVrp7JpPjodnA2rganJMF,Mata Amritanandamayi Center,Update non amex to 25 bps,,
MU2x43vewHQQVE22ktjrkWT6,ToPaz Aquatic LLC,Update non amex to 25 bps,,
MU2XGzk313eWfrmTCMR9c5se,Adams Structural Inc,Update non amex to 25 bps,,
MU2xZmTkXWkHa3tPHbrGY3DS,Apex Eyecare PLLC,Update non amex to 25 bps,,
MU2yDYMnX8PhYZ5Qfyq5CkVg,VANGUARD PLASTIC SURGERY PLLC,Update non amex to 25 bps,,
MU2yFJZ93SJWazWNjYmiRXRS,DS Carrizo properties LLC,Update non amex to 25 bps,,
MU2YKT1hHuLrVqtk7FNywJH9,Larimar Med LLC,Update non amex to 25 bps,,
MU2zfBDw2BBR2h3BXPgC1ffA,Timonere Law Offices LLC,Update non amex to 25 bps,,
MU2zFEgTr8vsiRjMuWZqbUj1,InHouse Plumbing & Services LLC,Update non amex to 25 bps,,
MU2ZJt1h4L6xLJFYhHfm9d8E,GMAT Ninja LLC,Update non amex to 25 bps,,
MU2zmT2qVh9X5X3yrHHQLixy,Wellness Consultants Naturopathic Clinic,Update non amex to 25 bps,,
MU2ZNFo35YBkcDuUtJxAzAoD,LCK Enterprises LLC,Update non amex to 25 bps,,
MU3166YTstnFNaHsn9ppZZec,J THOMAS Plastic Surgery,Update non amex to 25 bps,,
MU31sEWsRvMb1xzWk3kRQKo6,Texas Republic Roofing LLC,Update non amex to 25 bps,,
MU32atTpUz7Lt16oKUso9rxw,Irvine Eye Physicians and Surgeons Inc,Update non amex to 25 bps,,
MU32mojdEqjDm9ZtArUBj3nL,Laser Xpress of Idaho LLC,Update non amex to 25 bps,,
MU32t4CnUEoUsUNbRPwq42pV,"LEGACY PRINTING AND APPAREL, LLC",Update non amex to 25 bps,,
MU336uxFnx5w3R3SJxBLnGks,Narasimhan Plastic Surgery,Update non amex to 25 bps,,
MU33rG3B52kqKFuwjVyvoJjE,Contracted Business Services,Update non amex to 25 bps,,
MU342rV9eh3SGgrRZfPQb3w5,KL Creative Group LLC,Update non amex to 25 bps,,
MU34QjKsu3XPmR74tAviv7Bt,Medusa Pathology Inc,Update non amex to 25 bps,,
MU34Skb6iNQap394fbNXQ3Cg,Prithipal Sethi,Update non amex to 25 bps,,
MU35iBwASeqnssSKEXZN5ABA,Dora L Davis OD PA,Update non amex to 25 bps,,
MU35KtGXZo4Ps4b8rvVf9vi,AM Dental Professionals PA,Update non amex to 25 bps,,
MU37AZn56oCqhczAjefg9WnD,DHN Home Services LLC,Update non amex to 25 bps,,
MU37bJSC3ypjArrGqF7y2qVT,Alliance Property Management,Update non amex to 25 bps,,
MU37QBMh44R5JpnvDrdhzf34,J&J Doggie Styles Natural Pet Grooming,Update non amex to 25 bps,,
MU37qDhhs9LMz9CSjkjjixy6,THE SPOKE INC,Update non amex to 25 bps,,
MU387YYQGtUqvx7juidp9Vmu,WEST COAST TRUCK REPAIR INC.,Update non amex to 25 bps,,
MU38nGwv1Y4w3KnPwQHcJ2E2,Redefining Strength,Update non amex to 25 bps,,
MU39ubsWYyoQrGRYFRgPRb5w,heroal USA Inc,Update non amex to 25 bps,,
MU3A2fDmropnm3Z3Vj8CQoTa,Birdies and Bogeys,Update non amex to 25 bps,,
MU3A7CxxSerrY3PyTpgzwKYV,TTN Enterprises Inc,Update non amex to 25 bps,,
MU3A9tJAHauJTSrN91Q3wsVn,Allura Aesthetics,Update non amex to 25 bps,,
MU3aejd1tq3XyQHzRFKe9hSe,Marine Self Storage LLC,Update non amex to 25 bps,,
MU3AGSapKNeizWbtwjJShf6G,"The Media Factory, Inc.",Update non amex to 25 bps,,
MU3AgSpWPH7RY5pxaYc3W5ws,"Tele-Doc Investments, LLC",Update non amex to 25 bps,,
MU3aKYKeNmxXssXf7Q5gcxHX,THOMAS MARTZALL,Update non amex to 25 bps,,
MU3bbRbXRtSppkEVXCWi1vFG,Volkinator Enterprises,Update non amex to 25 bps,,
MU3BFJ3josTytuVc3SaVFQRQ,NSA doc prep,Update non amex to 25 bps,,
MU3bstez6vnEMDSNMXRzgYCV,Maximize Marketing Inc,Update non amex to 25 bps,,
MU3BYmGxDXqnJi68LkmDrXe,Regional Home Inspection Co,Update non amex to 25 bps,,
MU3c2oLoGjFUkqFnETaubQmt,FROM EUROPE TO YOU,Update non amex to 25 bps,,
MU3C7zDdHcp4GLjm6LRbgBXq,PGA Inc,Update non amex to 25 bps,,
MU3CdSzWoLssmCMV3tPweVG7,Dr Erika Leigh Johnson MD,Update non amex to 25 bps,,
MU3CEagu22fCe7b2LtNK2XWW,Fish Restaurant & Wine Bar,Update non amex to 25 bps,,
MU3ciyR9DcaWcA4KsX7jEB7S,Yokabitus Law PLLC,Update non amex to 25 bps,,
MU3CqgvcvhXBJVGw3SAuD43g,Memphis Incorporation Services,Update non amex to 25 bps,,
MU3DGMu7VeLCYc3gzHcPheTF,We Got Meat,Update non amex to 25 bps,,
MU3Dk9vp8Ujyz7CnXRfAYvnn,Elko Replenish Med Spa,Update non amex to 25 bps,,
MU3ECBvVY9Uckz438bkp2cMJ,Aero Fx Inc,Update non amex to 25 bps,,
MU3ef16QkcEFtiLbt3wUYQt1,Brotherhood of Electric Workers,Update non amex to 25 bps,,
MU3egzajxPZycYMjEz539aj,"The Media Factory, Inc.",Update non amex to 25 bps,,
MU3EK3aD6QSD25Udm42HgaP4,Aura Home Care and Concierge LLC,Update non amex to 25 bps,,
MU3F24WuemzTJi3DpcmuNyCq,Jimenezs Brakes & Alignment Inc,Update non amex to 25 bps,,
MU3fdyYYUoyiTn7NnowV6dXL,Dr K Saxton DO Inc,Update non amex to 25 bps,,
MU3G3krBcU8ZD4Jrvrfs982Y,"Buist Electric, Inc.",Update non amex to 25 bps,,
MU3G8yFfC29zJkstoxtXixKF,Famous Foam Inc,Update non amex to 25 bps,,
MU3gHWvcZPjNhmv4Xi4B8ZvR,Dumpster Rental Enterprises LLC,Update non amex to 25 bps,,
MU3HDiwcQGjKneWfQzqTvPVM,Texas Risk Solutions,Update non amex to 25 bps,,
MU3hL26JfGMnvnK93KbLW6h6,About Cats N Dogs LLC,Update non amex to 25 bps,,
MU3hV1v4nDFihmURXm3DKEnw,Sanborn Eye Care LLC,Update non amex to 25 bps,,
MU3i9McdwqWVQycaFV62Ee3E,PDS Consultants Inc,Update non amex to 25 bps,,
MU3jpjayuTHwniTgGNSu77EP,Northwest Storage Inc,Update non amex to 25 bps,,
MU3JPXd3jt9Z91V8UaNL59rC,"Dental Associates of Maple Shade, PC",Update non amex to 25 bps,,
MU3KYbXechWEWszWXeqbMMjk,"Evergreen Essentials Group, LLC",Update non amex to 25 bps,,
MU3LRVMjL7gfEZUCSnfga8hW,Anchangs Inc,Update non amex to 25 bps,,
MU3m7eHT8vnbkXipm5i8SkMN,Rice Veterinary Group,Update non amex to 25 bps,,
MU3MEYqNEZ7KbbtV5mygLPV2,"Acqua Medspa, INC",Update non amex to 25 bps,,
MU3mHPBLgYNhDwSwPEgcYKov,Humble Pi LLC,Update non amex to 25 bps,,
MU3MWCwNp2PGsyGcNXTJTTKS,Media Giant LLC,Update non amex to 25 bps,,
MU3MYGB88NZ8jFX7dTK2jcNL,Pure 111,Update non amex to 25 bps,,
MU3nAfmqpkAWk6jW2DbeG5Eq,Modern Aesthetics and Wellness LLC,Update non amex to 25 bps,,
MU3ndvyKSnFHV4Rso6sfyC2W,ALPS Property Casualty Insurance,Update non amex to 25 bps,,
MU3nGRVDHoXshDtk7o7kFUgM,Hudson Healthcare Express LLC,Update non amex to 25 bps,,
MU3nhQSLLFXTYWXWt4nvXitb,CarHero LLC,Update non amex to 25 bps,,
MU3NL5bhucUwEARk9egHLeqf,"Ocean Janitorial Supply, Inc.",Update non amex to 25 bps,,
MU3P6afFg2WB1CYhQmpar4yp,"Atlanta Office Furniture, Inc.",Update non amex to 25 bps,,
MU3qL7yxcimhT8Zxz7MoYjGL,Belton Storage LLC,Update non amex to 25 bps,,
MU3QrXMh5UxBwSfRZnbmiQZp,TopSpeed Motorsports NE LLC,Update non amex to 25 bps,,
MU3re3HGcaDnFkkaiUcgVJSE,"David W. Lyter, MD, MPH",Update non amex to 25 bps,,
MU3rz3Du2CZZHYVVATzDaZQC,"Inflatable Boat Center, Inc.",Update non amex to 25 bps,,
MU3TpP9nZqkb8SktRxYiY9u5,Steven Madow Aerial Productions LLC,Update non amex to 25 bps,,
MU3ug6QATJze9oXmhqKWLUds,Kulwinder Fayssoux MD,Update non amex to 25 bps,,
MU3uGwMfXVLGdZGbPgABVS59,Boulder Center Age Management,Update non amex to 25 bps,,
MU3uoaFEhvBDmYeKpwUhKF5U,Greenlight Services Inc,Update non amex to 25 bps,,
MU3UQfDidn5rN2AJZgb4RBH6,Register Tapes Unlimited Inc,Update non amex to 25 bps,,
MU3V8EYdQz5ri3wvSFtuZSzc,Marks Wholesale Tires Inc,Update non amex to 25 bps,,
MU3VFip3zNaNhCJdrMumXhBj,Pierce and Co General Store LLC,Update non amex to 25 bps,,
MU3vFMTZvq5smzuaYUSawVFW,KlientBoost LLC,Update non amex to 25 bps,,
MU3WB7D51aSNhSmTPQqMWxmC,"PARADISE NEWS, LLC",Update non amex to 25 bps,,
MU3WDGwucnJGbcFMyGrNFc22,Longs Tree Service LLC,Update non amex to 25 bps,,
MU3wniTuDPJxVyJf4V2nvaTh,James J Chao MD FACS PC,Update non amex to 25 bps,,
MU3WoFwt1rzXdgDPdCtK7BPs,Tennessee Valley Neurological Assoc,Update non amex to 25 bps,,
MU3XBmxDr1oGbsMoEAJh16WB,PARKS ELECTRIC MOTOR REPAIR INC,Update non amex to 25 bps,,
