external_id,finix_merchant_id
ST2pB3HJv3YDgtjdobXGg2fN,MUwVnxFQc9ZhKrtJCEBbtoMh
ST2hVFLv9DTiYAmZRmjtCMDr,MUsPYLiHSZtDmdFAhBaqNELJ
ST246wQqTHxFpXbpH5phShXg,MU6XBFA9fJq6fJZ1bZSLKM7f
ST26NKatfcswyptAc7wD5WSq,MUDzQMg2HAE4mejo36XzZWi
ST3Foi8aHHgG1AiqYUrEpgQv,MUsqXSTaLFM9WTEndFaw2ecC
ST4nrmPwHec3GZeBZ4e32BY2,MULBjLKtbSiuMKyZmHAtdh4
ST4mfL1Atgmi8dJjowhEY3Wk,MUtCH5X4k5CvxNciqURxAp2U
ST5Eba3qUz4atiTWfRUWy6An,MUdq29CMCe5DJm8Bdfe9qhuY
ST2kbdEESw5JvC8pr6KDbqJo,MUchE13gcT43mW91vgmKa4VK
ST3g7VvNpS7N9Ro7bhgsFMLR,MUoubhH36KkCcB8CW5VE92Mg
ST6GUAe1bR4ehH2obpp312Tw,MUrZjbPEDP1WeYBPHm1Z6KHe
ST5GJLRsNDQxkxwkaqDtSNEE,MUiRMQCokesoxxrpSyqAJmvr
ST3HpM1pQLB7kj5Gu4buCdHv,MUmzx29nWvMnCPkocuj83EyG
ST2hsLZ57TS1YfQdq4M23sDF,MU3qwxrmQFhAfsXgTiWMS5qf
ST32VnDepHJAUwtJexYkhFFx,MUuxzQJefFknxbfj8kFCCRyZ
ST35DJRwaqtBp4m8xusFNpsn,MU4UcvnzyQTjysTsDiAjwGkQ
ST3dMFfTe6ALMjvEiRrPVHz4,MUk9baZwQ8kyvvRKDoAfgRzA
ST5xjg9KRKyqFUNtsAyAyKUH,MUrymipzCoCwdh62gaw4BN8a
ST5JDpWLMX6MMcVRuMfenCeV,MUjtxXqVHWkHwZitt1vLShug
ST775QCPf5PmUg9eS8K7KT68,MUN6H3ey1mZUzPnEB4zih9H
ST4rvgPGsxA5MXochTE21fxm,MUhw7SX9jRSKtkFg1xGTPFsL
ST4eChyie7cEMgmaL8MhnkkY,MUvcNZvhFPSUTspRoEsoAszR
ST4iGipcGng8thyXknYJHfEJ,MU2M17dRXN2WcV3UYs9eVmKB
ST4u7bWXF4ARRouEsZ3CHXUr,MU8tkM2Ki46F7BS98uqftzfN
ST4u94SEvvR98Vnmj9H9B6RY,MUdpRJEZCf4msgnAqJFLhWbx
ST6sWb3RvD9SSpWHBcKwKmax,MU6f8wXtyWMkddua9BiaSvAz
ST4P1U1FeyMpehZRafVmJG5D,MUpbtLEYFL1CYpF4irBpT3JJ
ST5HDCXSTSS1PevR7wiRoXFv,MU8jJjMYsWKzAVszVGxfdwmS
ST44xb117wRVThZzfSn9XAqj,MUsjGuP5d9CGUUtHVdyaqUUp
ST6PFMnbqZQuDYtRQFzCuS2U,MU2eWRCsrKhSa7xWwjmZwVVB
ST2ugFRFaRYcC2DJZDBjtpgn,MUvJSymkBrFCujBs48YVX3kA
ST2FZffN8YLNaiCDeSbgwdPS,MU6NdMQNjQZreEp1aTibrqg5
ST2ZMmXneqTse1hVvZrEoyCX,MUaeb3sPXpEw6wpqCAxvm4Js
ST2jYLmDFJ3XrMRVxBZfouLt,MU3aVbaZfWJocTk7VmFXyGVb
ST2dmXHLMcTqJvp6qhNKLKfA,MUpNHJkdHzuXbEgCW7zQQqo7
ST3kV85jj7BX7xZyyoZp1ChA,MUxAduL93PV8nNf6nG79eswT
ST6jjUxLt4K6gVWgQdrXWuM4,MUmBgdR7X2VZSzX8o46pjw3C
ST7Xwb7BzPBsRpETXe44ay3M,MU4sKCKANrvcksdY7C45QLZP
ST5JX6mPotYZkHN9nncHj7RM,MUoHd54TeghLpbYU4t93HVBX
ST7MU7DnWiPFgwuX7yitJdGY,MUgMTGKPn4PK2vt2sJ1oDCWZ
ST6CMsi8q2moH9Ar98eGCgee,MUhS4PN6HFgUcNCvXDJdRkcc
ST5Bi3UGMif2pCvjWQVCgcus,MU7SmNiL3ocGdFbLShVjXetw
ST36YdyfT3aQ8FgZnKe7Bq3B,MUfvMHgNhEjFvngLf4erdVRi
ST73yNV7zHssfULys8bynhCQ,MUq7EB3jCxBUooNTsqyUsJP4
ST5eH94g7sKrEuRKD2BW16KC,MUfAYrsaXQcRs5ucxB8ZgJRy
ST7tby8ifZXpXuRskj6DzaM4,MU9avnidRTrjid6W5Z6eYsNG
ST3QxnFmusrSbczxf2EZ4nBY,MUaeb3sPXpEw6wpqCAxvm4Js
ST6GN4ndEeUFGgh4gdDh7QRv,MUwqQZMuCFbZHqhHsoguKcLz
ST7wyaPFSBU6rsym7W3y82m9,MUhWCqXFm7XAQBmBaVkWHirQ
ST3MJVAB9KnqduVPWpbx25m6,MUv5GEMPS7gdUjbw1M9kZmi9
ST3hxsK726kc6zqjXhsPicDg,MUjpiF4FNFjPqW6MT5JP71pb
ST7BGyq2LZJNoACPRRB6jbb4,MUcv2DFuakmQYXfoj279CMo6
ST6xw5vnn1nm8Gb1MbFYVAHt,MU6J1BuGFemUCUUvqUpDddyS
ST41kUoMg7QFhypWV79UfEGS,MUgcfymUwYdn1wy23G4Bef3y
ST4C5iLp1HTZbnJESJj1EJRL,MU8Cp6D8Yj3VHLRkrA1ezVtf
ST5EhNZbaigZiFdBafDXSLBZ,MUxADFfwSDVCtjtPgD2JcLBT
ST4APguZt3chUaZ3havooGwM,MUnMrTqDSwa8kZA9h2aza4g
ST5fQyz6BRrkHy3pXkuUJJ5L,MUk9baZwQ8kyvvRKDoAfgRzA
ST75zhwwYMU8L1dmaVJZ5Pnu,MU9F2FjKnggZKe28nVzMbFQ4
ST5n8NhFTTFuUfBzZcPht4qc,MUjHBMc7LgrFNQ94deEVML7j
ST4ggaqt9HKMnxZrA12U1sPG,MU25dTBdtMtrbtg95sgLrWHQ
ST4ALvGweKww15Uk2w2BB9Ph,MUfUzrsPJboJLZKpexRvp3vt
ST2MDkVrjfj5EZkubE7QkbHd,MUrjzb5dzBy5RCtb3MQCRxb8
ST9FApktMWUp9rpy24PyzZqS,MUjpiF4FNFjPqW6MT5JP71pb
ST31JFhwCVoTTymJ6UMHw5HH,MUvDiem7mj6rkyW4PHDGx42p
ST6JtaDfkKGFAA3uhbZTr3sA,MU7hJYyAkKCeodfQyXMMZmjc
ST6nyFuT8rsq3XmaT7ACbJYi,MU3TpP9nZqkb8SktRxYiY9u5
ST3PhAB1HRNY7ch6P6qd4cXs,MUkZNL53fdTz6yV3h8K3mVYc
ST7Jj9Neo2beadVxu4VzPMwZ,MU999EAo92d426FxKu915aDV
STeupU47EEKZEUWQucqeLq1,MUggoFa7hU9NwhTKK1Fckj12
ST5Qv3EwrVjJuN1QqPdPN1Pj,MUtYH1c7F8QdK9Nz9jtVT5bL
ST5RVxSoFBaN9q5kVHJMdrRP,MUwX8b2um6o2SPN6PATGx41p
ST51k85P3r9DkTdd87WAQh3N,MUsn7ViNgHwjhYC2D3KXA4yU
ST5D3mwzbjQVZ55WWm7oFf2j,MU4sKCKANrvcksdY7C45QLZP
ST46epMtUb6L2Ce6ri5NTN3C,MU9VCFr9CU6dqakPu9a22ywG
ST35wfDjZWBJ5VkEZTozyAnN,MU4TxF5GB6WZPDsjnkkkq5FA
ST2bEZDvxkvP9YXpimUYhkTG,MU6kXVdmD36TnQkFT33WQDJv
ST759bGK71d31MVMxrwww6VW,MUtnMhTNAinDzFdYv1uVehGF
ST4prRobDqpRwucBv59987Rb,MUkGxWcawkgWByxVJJgfZ2dc
ST3x9SrLGetWKWtLN4wfxzkQ,MU4rjqz4dqwTC3XrHvWwrsGV
ST49KYumWY7QhHJAAjgnqm6Q,MUt3X6vAcBT4BpkKNEvueybY
ST4wrSYneMdNfBNpW4CKC34d,MUsBznSNHqWnD5xfyJpYJwVd
ST77BqsKCjuns3XXLYw2dMZ5,MUxiF8kcAHmoJ79fp1Ku5KF
ST2vjhzGKT7a3JdPi9JRbkis,MUrHk4rL8vsnktdgUEmW5zXn
ST3zoP1jjgQTA292Bkjp415c,MUtnMhTNAinDzFdYv1uVehGF
ST5D41BtHJwvyEmPL8JsBGcz,MUZAsDVnr3eRv4VPnHNVABF
ST5AxYKSSEsisoqAT2bYkhjw,MUdXZU655aEuo37qn26CPW6Y
ST5kMvCTVMtcMpaHErPpy1hU,MU7SmNiL3ocGdFbLShVjXetw
ST4rt1yngYz6yXsDD9aocXSp,MUgy3TLivaAhUvvJ3SJBtTVm
ST3AGhE4QuDePSyDE1PqCryc,MU9VhhTTYpRaFhyzAP4vGwhV
ST4fME3NrGSPfpcdwSQdret2,MUjMu3EzZ4TbgPMjULbnrjkB
ST6zL8HqHi7eXbxnFJJYcHmj,MU29nAE6nC1qR6NFoRC96PfV
ST2zMXRhti3R4yZVdZhECs1V,MUgqoFJcy26PpRK2HRK4fghF
ST24VEZdxk1zmBWjHKyf6vZ9,MU2jS3UqYQCWjCcnu8AXbCMf
ST4nsWzjBAZmg1Gs8LHJK3y4,MUha8gHF3xp56sinvSaGQF9z
